Name,File,Score
47_inter__7,47_inter__7.mid,35
53_inter__1,53_inter__1.mid,5
114_inter__16,114_inter__16.mid,80
62_inter__17,62_inter__17.mid,85
173_inter__15,173_inter__15.mid,75
91_inter__10,91_inter__10.mid,50
104_inter__7,104_inter__7.mid,35
180_inter__12,180_inter__12.mid,60
151_inter__7,151_inter__7.mid,35
6_inter__20,6_inter__20.mid,100
38_inter__15,38_inter__15.mid,75
145_inter__1,145_inter__1.mid,5
129_inter__17,129_inter__17.mid,85
110_inter__1,110_inter__1.mid,5
100_inter__13,100_inter__13.mid,65
76_inter__12,76_inter__12.mid,60
11_inter__11,11_inter__11.mid,55
167_inter__10,167_inter__10.mid,50
10_inter__8,10_inter__8.mid,40
174_inter__11,174_inter__11.mid,55
113_inter__12,113_inter__12.mid,60
45_inter__8,45_inter__8.mid,40
65_inter__13,65_inter__13.mid,65
193_inter__13,193_inter__13.mid,65
37_inter__3,37_inter__3.mid,15
82_inter__11,82_inter__11.mid,55
89_inter__5,89_inter__5.mid,25
62_inter__3,62_inter__3.mid,15
1_inter__18,1_inter__18.mid,90
76_inter__5,76_inter__5.mid,25
23_inter__5,23_inter__5.mid,25
16_inter__15,16_inter__15.mid,75
106_inter__8,106_inter__8.mid,40
160_inter__14,160_inter__14.mid,70
6_inter__4,6_inter__4.mid,20
107_inter__17,107_inter__17.mid,85
153_inter__8,153_inter__8.mid,40
71_inter__16,71_inter__16.mid,80
121_inter__3,121_inter__3.mid,15
187_inter__16,187_inter__16.mid,80
174_inter__3,174_inter__3.mid,15
96_inter__14,96_inter__14.mid,70
58_inter__12,58_inter__12.mid,60
160_inter__5,160_inter__5.mid,25
135_inter__5,135_inter__5.mid,25
149_inter__10,149_inter__10.mid,50
59_inter__20,59_inter__20.mid,100
55_inter__6,55_inter__6.mid,30
186_random,186_random.mid,0
101_generated,101_generated.mid,100
186_inter__18,186_inter__18.mid,90
70_inter__18,70_inter__18.mid,90
143_inter__6,143_inter__6.mid,30
106_inter__19,106_inter__19.mid,95
112_inter__20,112_inter__20.mid,100
116_inter__6,116_inter__6.mid,30
3_inter__13,3_inter__13.mid,65
17_inter__8,17_inter__8.mid,40
191_inter__18,191_inter__18.mid,90
42_inter__8,42_inter__8.mid,40
116_generated,116_generated.mid,100
71_inter__5,71_inter__5.mid,25
24_inter__5,24_inter__5.mid,25
30_inter__3,30_inter__3.mid,15
105_inter__20,105_inter__20.mid,100
67_inter__18,67_inter__18.mid,90
65_inter__3,65_inter__3.mid,15
111_inter__19,111_inter__19.mid,95
101_inter__8,101_inter__8.mid,40
1_inter__4,1_inter__4.mid,20
154_inter__8,154_inter__8.mid,40
167_inter__5,167_inter__5.mid,25
132_inter__5,132_inter__5.mid,25
126_inter__3,126_inter__3.mid,15
198_inter__5,198_inter__5.mid,25
173_inter__3,173_inter__3.mid,15
110_inter__17,110_inter__17.mid,85
66_inter__16,66_inter__16.mid,80
177_inter__14,177_inter__14.mid,70
81_inter__14,81_inter__14.mid,70
52_inter__6,52_inter__6.mid,30
190_inter__16,190_inter__16.mid,80
28_inter__11,28_inter__11.mid,55
139_inter__13,139_inter__13.mid,65
104_inter__12,104_inter__12.mid,60
72_inter__13,72_inter__13.mid,65
15_inter__10,15_inter__10.mid,50
163_inter__11,163_inter__11.mid,55
95_inter__11,95_inter__11.mid,55
144_inter__6,144_inter__6.mid,30
184_inter__13,184_inter__13.mid,65
111_inter__6,111_inter__6.mid,30
111_inter__7,111_inter__7.mid,35
184_inter__12,184_inter__12.mid,60
144_inter__7,144_inter__7.mid,35
95_inter__10,95_inter__10.mid,50
150_inter__1,150_inter__1.mid,5
105_inter__1,105_inter__1.mid,5
2_inter__20,2_inter__20.mid,100
163_inter__10,163_inter__10.mid,50
15_inter__11,15_inter__11.mid,55
72_inter__12,72_inter__12.mid,60
104_inter__13,104_inter__13.mid,65
190_inter__17,190_inter__17.mid,85
52_inter__7,52_inter__7.mid,35
81_inter__15,81_inter__15.mid,75
46_inter__1,46_inter__1.mid,5
139_inter__12,139_inter__12.mid,60
13_inter__1,13_inter__1.mid,5
28_inter__10,28_inter__10.mid,50
177_inter__15,177_inter__15.mid,75
66_inter__17,66_inter__17.mid,85
110_inter__16,110_inter__16.mid,80
132_inter__4,132_inter__4.mid,20
167_inter__4,167_inter__4.mid,20
173_inter__2,173_inter__2.mid,10
198_inter__4,198_inter__4.mid,20
130_random,130_random.mid,0
126_inter__2,126_inter__2.mid,10
138_inter__20,138_inter__20.mid,100
154_inter__9,154_inter__9.mid,45
1_inter__5,1_inter__5.mid,25
101_inter__9,101_inter__9.mid,45
24_inter__4,24_inter__4.mid,20
71_inter__4,71_inter__4.mid,20
111_inter__18,111_inter__18.mid,90
65_inter__2,65_inter__2.mid,10
67_inter__19,67_inter__19.mid,95
196_generated,196_generated.mid,100
73_inter__20,73_inter__20.mid,100
30_inter__2,30_inter__2.mid,10
107_random,107_random.mid,0
3_inter__12,3_inter__12.mid,60
39_random,39_random.mid,0
60_generated,60_generated.mid,100
185_inter__20,185_inter__20.mid,100
42_inter__9,42_inter__9.mid,45
191_inter__19,191_inter__19.mid,95
17_inter__9,17_inter__9.mid,45
157_inter__1,157_inter__1.mid,5
102_inter__1,102_inter__1.mid,5
116_inter__7,116_inter__7.mid,35
64_inter__20,64_inter__20.mid,100
181_generated,181_generated.mid,100
143_inter__7,143_inter__7.mid,35
106_inter__18,106_inter__18.mid,90
70_inter__19,70_inter__19.mid,95
186_inter__19,186_inter__19.mid,95
192_inter__20,192_inter__20.mid,100
77_generated,77_generated.mid,100
41_inter__1,41_inter__1.mid,5
14_inter__1,14_inter__1.mid,5
55_inter__7,55_inter__7.mid,35
96_inter__15,96_inter__15.mid,75
174_inter__2,174_inter__2.mid,10
187_inter__17,187_inter__17.mid,85
121_inter__2,121_inter__2.mid,10
149_inter__11,149_inter__11.mid,55
135_inter__4,135_inter__4.mid,20
160_inter__4,160_inter__4.mid,20
58_inter__13,58_inter__13.mid,65
152_random,152_random.mid,0
71_inter__17,71_inter__17.mid,85
107_inter__16,107_inter__16.mid,80
153_inter__9,153_inter__9.mid,45
6_inter__5,6_inter__5.mid,25
160_inter__15,160_inter__15.mid,75
106_inter__9,106_inter__9.mid,45
16_inter__14,16_inter__14.mid,70
62_inter__2,62_inter__2.mid,10
89_inter__4,89_inter__4.mid,20
82_inter__10,82_inter__10.mid,50
37_inter__2,37_inter__2.mid,10
193_inter__12,193_inter__12.mid,60
165_random,165_random.mid,0
23_inter__4,23_inter__4.mid,20
76_inter__4,76_inter__4.mid,20
1_inter__19,1_inter__19.mid,95
65_inter__12,65_inter__12.mid,60
45_inter__9,45_inter__9.mid,45
113_inter__13,113_inter__13.mid,65
174_inter__10,174_inter__10.mid,50
10_inter__9,10_inter__9.mid,45
6_generated,6_generated.mid,100
167_inter__11,167_inter__11.mid,55
11_inter__10,11_inter__10.mid,50
76_inter__13,76_inter__13.mid,65
100_inter__12,100_inter__12.mid,60
151_inter__6,151_inter__6.mid,30
180_inter__13,180_inter__13.mid,65
104_inter__6,104_inter__6.mid,30
91_inter__11,91_inter__11.mid,55
129_inter__16,129_inter__16.mid,80
38_inter__14,38_inter__14.mid,70
173_inter__14,173_inter__14.mid,70
62_inter__16,62_inter__16.mid,80
114_inter__17,114_inter__17.mid,85
47_inter__6,47_inter__6.mid,30
194_inter__16,194_inter__16.mid,80
93_random,93_random.mid,0
12_inter__6,12_inter__6.mid,30
85_inter__14,85_inter__14.mid,70
128_inter__18,128_inter__18.mid,90
114_inter__8,114_inter__8.mid,40
141_inter__8,141_inter__8.mid,40
199_inter__3,199_inter__3.mid,15
172_inter__5,172_inter__5.mid,25
59_generated,59_generated.mid,100
127_inter__5,127_inter__5.mid,25
133_inter__3,133_inter__3.mid,15
166_inter__3,166_inter__3.mid,15
7_inter__13,7_inter__13.mid,65
112_generated,112_generated.mid,100
195_inter__18,195_inter__18.mid,90
57_inter__8,57_inter__8.mid,40
64_inter__5,64_inter__5.mid,25
1_random,1_random.mid,0
31_inter__5,31_inter__5.mid,25
115_inter__19,115_inter__19.mid,95
25_inter__3,25_inter__3.mid,15
63_inter__18,63_inter__18.mid,90
101_inter__20,101_inter__20.mid,100
70_inter__3,70_inter__3.mid,15
182_inter__18,182_inter__18.mid,90
105_generated,105_generated.mid,100
156_inter__6,156_inter__6.mid,30
116_inter__20,116_inter__20.mid,100
103_inter__6,103_inter__6.mid,30
102_inter__19,102_inter__19.mid,95
74_inter__18,74_inter__18.mid,90
4_inter__16,4_inter__16.mid,80
49_inter__19,49_inter__19.mid,95
40_inter__6,40_inter__6.mid,30
15_inter__6,15_inter__6.mid,30
75_inter__16,75_inter__16.mid,80
103_inter__17,103_inter__17.mid,85
113_inter__8,113_inter__8.mid,40
164_inter__14,164_inter__14.mid,70
146_inter__8,146_inter__8.mid,40
12_inter__15,12_inter__15.mid,75
7_inter__2,7_inter__2.mid,10
92_inter__14,92_inter__14.mid,70
134_inter__3,134_inter__3.mid,15
183_inter__16,183_inter__16.mid,80
161_inter__3,161_inter__3.mid,15
175_inter__5,175_inter__5.mid,25
120_inter__5,120_inter__5.mid,25
61_inter__13,61_inter__13.mid,65
117_inter__12,117_inter__12.mid,60
170_inter__11,170_inter__11.mid,55
50_inter__8,50_inter__8.mid,40
22_inter__3,22_inter__3.mid,15
86_inter__11,86_inter__11.mid,55
77_inter__3,77_inter__3.mid,15
197_inter__13,197_inter__13.mid,65
88_inter__3,88_inter__3.mid,15
159_inter__15,159_inter__15.mid,75
63_inter__5,63_inter__5.mid,25
48_inter__17,48_inter__17.mid,85
36_inter__5,36_inter__5.mid,25
5_inter__18,5_inter__18.mid,90
170_inter__13,170_inter__13.mid,65
117_inter__10,117_inter__10.mid,50
61_inter__11,61_inter__11.mid,55
36_inter__7,36_inter__7.mid,35
48_inter__15,48_inter__15.mid,75
63_inter__7,63_inter__7.mid,35
159_inter__17,159_inter__17.mid,85
88_inter__1,88_inter__1.mid,5
197_inter__11,197_inter__11.mid,55
77_inter__1,77_inter__1.mid,5
86_inter__13,86_inter__13.mid,65
22_inter__1,22_inter__1.mid,5
12_inter__17,12_inter__17.mid,85
164_inter__16,164_inter__16.mid,80
103_inter__15,103_inter__15.mid,75
75_inter__14,75_inter__14.mid,70
120_inter__7,120_inter__7.mid,35
175_inter__7,175_inter__7.mid,35
161_inter__1,161_inter__1.mid,5
183_inter__14,183_inter__14.mid,70
134_inter__1,134_inter__1.mid,5
92_inter__16,92_inter__16.mid,80
158_inter__19,158_inter__19.mid,95
73_inter__9,73_inter__9.mid,45
4_inter__14,4_inter__14.mid,70
26_inter__9,26_inter__9.mid,45
15_inter__4,15_inter__4.mid,20
40_inter__4,40_inter__4.mid,20
54_inter__2,54_inter__2.mid,10
93_inter__18,93_inter__18.mid,90
14_generated,14_generated.mid,100
165_inter__9,165_inter__9.mid,45
130_inter__9,130_inter__9.mid,45
103_inter__4,103_inter__4.mid,20
165_inter__18,165_inter__18.mid,90
3_inter__8,3_inter__8.mid,40
13_inter__19,13_inter__19.mid,95
156_inter__4,156_inter__4.mid,20
142_inter__2,142_inter__2.mid,10
117_inter__2,117_inter__2.mid,10
84_inter__18,84_inter__18.mid,90
7_inter__11,7_inter__11.mid,55
172_inter__18,172_inter__18.mid,90
70_inter__1,70_inter__1.mid,5
25_inter__1,25_inter__1.mid,5
10_inter__20,10_inter__20.mid,100
31_inter__7,31_inter__7.mid,35
64_inter__7,64_inter__7.mid,35
39_inter__18,39_inter__18.mid,90
166_inter__1,166_inter__1.mid,5
133_inter__1,133_inter__1.mid,5
127_inter__7,127_inter__7.mid,35
172_inter__7,172_inter__7.mid,35
148_generated,148_generated.mid,100
199_inter__1,199_inter__1.mid,5
74_inter__9,74_inter__9.mid,45
21_inter__9,21_inter__9.mid,45
114_inter__15,114_inter__15.mid,75
62_inter__14,62_inter__14.mid,70
173_inter__16,173_inter__16.mid,80
53_inter__2,53_inter__2.mid,10
85_inter__16,85_inter__16.mid,80
12_inter__4,12_inter__4.mid,20
82_random,82_random.mid,0
194_inter__14,194_inter__14.mid,70
47_inter__4,47_inter__4.mid,20
162_inter__9,162_inter__9.mid,45
137_inter__9,137_inter__9.mid,45
100_inter__10,100_inter__10.mid,50
76_inter__11,76_inter__11.mid,55
11_inter__12,11_inter__12.mid,60
167_inter__13,167_inter__13.mid,65
38_inter__16,38_inter__16.mid,80
145_inter__2,145_inter__2.mid,10
129_inter__14,129_inter__14.mid,70
110_inter__2,110_inter__2.mid,10
91_inter__13,91_inter__13.mid,65
104_inter__4,104_inter__4.mid,20
180_inter__11,180_inter__11.mid,55
4_inter__8,4_inter__8.mid,40
151_inter__4,151_inter__4.mid,20
76_inter__6,76_inter__6.mid,30
174_random,174_random.mid,0
23_inter__6,23_inter__6.mid,30
193_inter__10,193_inter__10.mid,50
89_inter__6,89_inter__6.mid,30
82_inter__12,82_inter__12.mid,60
174_inter__12,174_inter__12.mid,60
113_inter__11,113_inter__11.mid,55
65_inter__10,65_inter__10.mid,50
160_inter__6,160_inter__6.mid,30
58_inter__11,58_inter__11.mid,55
135_inter__6,135_inter__6.mid,30
149_inter__13,149_inter__13.mid,65
187_inter__15,187_inter__15.mid,75
96_inter__17,96_inter__17.mid,85
143_random,143_random.mid,0
16_inter__16,16_inter__16.mid,80
160_inter__17,160_inter__17.mid,85
6_inter__7,6_inter__7.mid,35
107_inter__14,107_inter__14.mid,70
71_inter__15,71_inter__15.mid,75
55_inter__5,55_inter__5.mid,25
14_inter__3,14_inter__3.mid,15
41_inter__3,41_inter__3.mid,15
99_inter__8,99_inter__8.mid,40
33_inter__8,33_inter__8.mid,40
66_inter__8,66_inter__8.mid,40
175_inter__20,175_inter__20.mid,100
90_generated,90_generated.mid,100
143_inter__5,143_inter__5.mid,25
161_inter__19,161_inter__19.mid,95
17_inter__18,17_inter__18.mid,90
116_inter__5,116_inter__5.mid,25
102_inter__3,102_inter__3.mid,15
157_inter__3,157_inter__3.mid,15
97_inter__19,97_inter__19.mid,95
83_inter__20,83_inter__20.mid,100
166_generated,166_generated.mid,100
125_inter__8,125_inter__8.mid,40
170_inter__8,170_inter__8.mid,40
176_inter__19,176_inter__19.mid,95
87_generated,87_generated.mid,100
162_inter__20,162_inter__20.mid,100
71_inter__6,71_inter__6.mid,30
24_inter__6,24_inter__6.mid,30
171_generated,171_generated.mid,100
94_inter__20,94_inter__20.mid,100
80_inter__19,80_inter__19.mid,95
116_random,116_random.mid,0
3_inter__10,3_inter__10.mid,50
28_random,28_random.mid,0
121_random,121_random.mid,0
198_inter__6,198_inter__6.mid,30
167_inter__6,167_inter__6.mid,30
132_inter__6,132_inter__6.mid,30
1_inter__7,1_inter__7.mid,35
29_inter__20,29_inter__20.mid,100
28_inter__12,28_inter__12.mid,60
13_inter__3,13_inter__3.mid,15
139_inter__10,139_inter__10.mid,50
46_inter__3,46_inter__3.mid,15
81_inter__17,81_inter__17.mid,85
52_inter__5,52_inter__5.mid,25
190_inter__15,190_inter__15.mid,75
34_inter__8,34_inter__8.mid,40
61_inter__8,61_inter__8.mid,40
110_inter__14,110_inter__14.mid,70
66_inter__15,66_inter__15.mid,75
177_inter__17,177_inter__17.mid,85
105_inter__3,105_inter__3.mid,15
150_inter__3,150_inter__3.mid,15
95_inter__12,95_inter__12.mid,60
144_inter__5,144_inter__5.mid,25
184_inter__10,184_inter__10.mid,50
111_inter__5,111_inter__5.mid,25
122_inter__8,122_inter__8.mid,40
177_inter__8,177_inter__8.mid,40
104_inter__11,104_inter__11.mid,55
72_inter__10,72_inter__10.mid,50
188_inter__8,188_inter__8.mid,40
15_inter__13,15_inter__13.mid,65
163_inter__12,163_inter__12.mid,60
177_inter__9,177_inter__9.mid,45
122_inter__9,122_inter__9.mid,45
163_inter__13,163_inter__13.mid,65
15_inter__12,15_inter__12.mid,60
188_inter__9,188_inter__9.mid,45
72_inter__11,72_inter__11.mid,55
104_inter__10,104_inter__10.mid,50
150_inter__2,150_inter__2.mid,10
105_inter__2,105_inter__2.mid,10
111_inter__4,111_inter__4.mid,20
184_inter__11,184_inter__11.mid,55
144_inter__4,144_inter__4.mid,20
95_inter__13,95_inter__13.mid,65
61_inter__9,61_inter__9.mid,45
34_inter__9,34_inter__9.mid,45
177_inter__16,177_inter__16.mid,80
66_inter__14,66_inter__14.mid,70
110_inter__15,110_inter__15.mid,75
46_inter__2,46_inter__2.mid,10
139_inter__11,139_inter__11.mid,55
13_inter__2,13_inter__2.mid,10
28_inter__13,28_inter__13.mid,65
190_inter__14,190_inter__14.mid,70
52_inter__4,52_inter__4.mid,20
81_inter__16,81_inter__16.mid,80
1_inter__6,1_inter__6.mid,30
173_inter__1,173_inter__1.mid,5
198_inter__7,198_inter__7.mid,35
126_inter__1,126_inter__1.mid,5
132_inter__7,132_inter__7.mid,35
167_inter__7,167_inter__7.mid,35
80_inter__18,80_inter__18.mid,90
3_inter__11,3_inter__11.mid,55
14_inter__20,14_inter__20.mid,100
65_inter__1,65_inter__1.mid,5
30_inter__1,30_inter__1.mid,5
176_inter__18,176_inter__18.mid,90
24_inter__7,24_inter__7.mid,35
71_inter__7,71_inter__7.mid,35
10_generated,10_generated.mid,100
97_inter__18,97_inter__18.mid,90
170_inter__9,170_inter__9.mid,45
125_inter__9,125_inter__9.mid,45
197_random,197_random.mid,0
116_inter__4,116_inter__4.mid,20
17_inter__19,17_inter__19.mid,95
161_inter__18,161_inter__18.mid,90
143_inter__4,143_inter__4.mid,20
157_inter__2,157_inter__2.mid,10
102_inter__2,102_inter__2.mid,10
99_inter__9,99_inter__9.mid,45
66_inter__9,66_inter__9.mid,45
148_inter__20,148_inter__20.mid,100
33_inter__9,33_inter__9.mid,45
55_inter__4,55_inter__4.mid,20
41_inter__2,41_inter__2.mid,10
14_inter__2,14_inter__2.mid,10
71_inter__14,71_inter__14.mid,70
107_inter__15,107_inter__15.mid,75
6_inter__6,6_inter__6.mid,30
160_inter__16,160_inter__16.mid,80
16_inter__17,16_inter__17.mid,85
149_inter__12,149_inter__12.mid,60
135_inter__7,135_inter__7.mid,35
58_inter__10,58_inter__10.mid,50
160_inter__7,160_inter__7.mid,35
96_inter__16,96_inter__16.mid,80
174_inter__1,174_inter__1.mid,5
187_inter__14,187_inter__14.mid,70
121_inter__1,121_inter__1.mid,5
65_inter__11,65_inter__11.mid,55
113_inter__10,113_inter__10.mid,50
174_inter__13,174_inter__13.mid,65
23_inter__7,23_inter__7.mid,35
76_inter__7,76_inter__7.mid,35
62_inter__1,62_inter__1.mid,5
82_inter__13,82_inter__13.mid,65
89_inter__7,89_inter__7.mid,35
37_inter__1,37_inter__1.mid,5
193_inter__11,193_inter__11.mid,55
110_inter__3,110_inter__3.mid,15
129_inter__15,129_inter__15.mid,75
145_inter__3,145_inter__3.mid,15
38_inter__17,38_inter__17.mid,85
151_inter__5,151_inter__5.mid,25
4_inter__9,4_inter__9.mid,45
180_inter__10,180_inter__10.mid,50
104_inter__5,104_inter__5.mid,25
91_inter__12,91_inter__12.mid,60
137_inter__8,137_inter__8.mid,40
162_inter__8,162_inter__8.mid,40
167_inter__12,167_inter__12.mid,60
11_inter__13,11_inter__13.mid,65
76_inter__10,76_inter__10.mid,50
100_inter__11,100_inter__11.mid,55
53_inter__3,53_inter__3.mid,15
47_inter__5,47_inter__5.mid,25
194_inter__15,194_inter__15.mid,75
12_inter__5,12_inter__5.mid,25
85_inter__17,85_inter__17.mid,85
21_inter__8,21_inter__8.mid,40
74_inter__8,74_inter__8.mid,40
173_inter__17,173_inter__17.mid,85
62_inter__15,62_inter__15.mid,75
114_inter__14,114_inter__14.mid,70
172_inter__6,172_inter__6.mid,30
127_inter__6,127_inter__6.mid,30
61_random,61_random.mid,0
39_inter__19,39_inter__19.mid,95
83_generated,83_generated.mid,100
166_inter__20,166_inter__20.mid,100
172_inter__19,172_inter__19.mid,95
168_random,168_random.mid,0
64_inter__6,64_inter__6.mid,30
56_random,56_random.mid,0
31_inter__6,31_inter__6.mid,30
84_inter__19,84_inter__19.mid,95
175_generated,175_generated.mid,100
90_inter__20,90_inter__20.mid,100
7_inter__10,7_inter__10.mid,50
156_inter__5,156_inter__5.mid,25
13_inter__18,13_inter__18.mid,90
3_inter__9,3_inter__9.mid,45
165_inter__19,165_inter__19.mid,95
103_inter__5,103_inter__5.mid,25
171_inter__20,171_inter__20.mid,100
94_generated,94_generated.mid,100
117_inter__3,117_inter__3.mid,15
142_inter__3,142_inter__3.mid,15
87_inter__20,87_inter__20.mid,100
162_generated,162_generated.mid,100
93_inter__19,93_inter__19.mid,95
130_inter__8,130_inter__8.mid,40
165_inter__8,165_inter__8.mid,40
40_inter__5,40_inter__5.mid,25
15_inter__5,15_inter__5.mid,25
54_inter__3,54_inter__3.mid,15
29_generated,29_generated.mid,100
26_inter__8,26_inter__8.mid,40
4_inter__15,4_inter__15.mid,75
73_inter__8,73_inter__8.mid,40
158_inter__18,158_inter__18.mid,90
175_inter__6,175_inter__6.mid,30
120_inter__6,120_inter__6.mid,30
92_inter__17,92_inter__17.mid,85
183_inter__15,183_inter__15.mid,75
7_inter__1,7_inter__1.mid,5
75_inter__15,75_inter__15.mid,75
103_inter__14,103_inter__14.mid,70
164_inter__17,164_inter__17.mid,85
12_inter__16,12_inter__16.mid,80
159_inter__16,159_inter__16.mid,80
63_inter__6,63_inter__6.mid,30
48_inter__14,48_inter__14.mid,70
36_inter__6,36_inter__6.mid,30
86_inter__12,86_inter__12.mid,60
197_inter__10,197_inter__10.mid,50
34_random,34_random.mid,0
61_inter__10,61_inter__10.mid,50
117_inter__11,117_inter__11.mid,55
170_inter__12,170_inter__12.mid,60
12_inter__12,12_inter__12.mid,60
164_inter__13,164_inter__13.mid,65
103_inter__10,103_inter__10.mid,50
75_inter__11,75_inter__11.mid,55
107_inter__9,107_inter__9.mid,45
7_inter__5,7_inter__5.mid,25
152_inter__9,152_inter__9.mid,45
183_inter__11,183_inter__11.mid,55
161_inter__4,161_inter__4.mid,20
92_inter__13,92_inter__13.mid,65
134_inter__4,134_inter__4.mid,20
120_inter__2,120_inter__2.mid,10
175_inter__2,175_inter__2.mid,10
170_inter__16,170_inter__16.mid,80
117_inter__15,117_inter__15.mid,75
61_inter__14,61_inter__14.mid,70
11_inter__9,11_inter__9.mid,45
44_inter__9,44_inter__9.mid,45
197_inter__14,197_inter__14.mid,70
77_inter__4,77_inter__4.mid,20
86_inter__16,86_inter__16.mid,80
22_inter__4,22_inter__4.mid,20
36_inter__2,36_inter__2.mid,10
48_inter__10,48_inter__10.mid,50
63_inter__2,63_inter__2.mid,10
88_inter__4,88_inter__4.mid,20
159_inter__12,159_inter__12.mid,60
158_inter__20,158_inter__20.mid,100
142_inter__7,142_inter__7.mid,35
146_random,146_random.mid,0
78_random,78_random.mid,0
117_inter__7,117_inter__7.mid,35
103_inter__1,103_inter__1.mid,5
156_inter__1,156_inter__1.mid,5
4_inter__11,4_inter__11.mid,55
171_random,171_random.mid,0
87_inter__18,87_inter__18.mid,90
54_inter__7,54_inter__7.mid,35
15_inter__1,15_inter__1.mid,5
13_inter__20,13_inter__20.mid,100
171_inter__18,171_inter__18.mid,90
40_inter__1,40_inter__1.mid,5
100_inter__9,100_inter__9.mid,45
155_inter__9,155_inter__9.mid,45
17_generated,17_generated.mid,100
90_inter__18,90_inter__18.mid,90
127_inter__2,127_inter__2.mid,10
172_inter__2,172_inter__2.mid,10
199_inter__4,199_inter__4.mid,20
166_inter__18,166_inter__18.mid,90
166_inter__4,166_inter__4.mid,20
10_inter__19,10_inter__19.mid,95
133_inter__4,133_inter__4.mid,20
16_inter__9,16_inter__9.mid,45
7_inter__14,7_inter__14.mid,70
43_inter__9,43_inter__9.mid,45
31_inter__2,31_inter__2.mid,10
64_inter__2,64_inter__2.mid,10
70_inter__4,70_inter__4.mid,20
25_inter__4,25_inter__4.mid,20
100_inter__15,100_inter__15.mid,75
76_inter__14,76_inter__14.mid,70
11_inter__17,11_inter__17.mid,85
167_inter__16,167_inter__16.mid,80
124_random,124_random.mid,0
104_inter__1,104_inter__1.mid,5
91_inter__16,91_inter__16.mid,80
151_inter__1,151_inter__1.mid,5
180_inter__14,180_inter__14.mid,70
38_inter__13,38_inter__13.mid,65
145_inter__7,145_inter__7.mid,35
129_inter__11,129_inter__11.mid,55
110_inter__7,110_inter__7.mid,35
114_inter__10,114_inter__10.mid,50
62_inter__11,62_inter__11.mid,55
173_inter__13,173_inter__13.mid,65
85_inter__13,85_inter__13.mid,65
113_random,113_random.mid,0
12_inter__1,12_inter__1.mid,5
194_inter__11,194_inter__11.mid,55
47_inter__1,47_inter__1.mid,5
53_inter__7,53_inter__7.mid,35
187_inter__10,187_inter__10.mid,50
121_inter__5,121_inter__5.mid,25
96_inter__12,96_inter__12.mid,60
174_inter__5,174_inter__5.mid,25
160_inter__3,160_inter__3.mid,15
58_inter__14,58_inter__14.mid,70
135_inter__3,135_inter__3.mid,15
149_inter__16,149_inter__16.mid,80
16_inter__13,16_inter__13.mid,65
160_inter__12,160_inter__12.mid,60
